Anio;NombreCurso;Tipo de capacitación;Nombre corto;Plataforma de dictado;Autorización para el dictado de la capacitación;La inscripción a la capacitación, se realizará a través de:;Ministerio;Área;codMinistero;codArea;codPlataformaDicado;codMedioInscipcion;codTipoCapacitacion
2024;Introducción a las instalaciones sanitarias y de gas;Curso e-learning;C-IISG;Campus Córdoba;Julio Castro;FUP;Ministerio de Desarrollo Social y Promoción del Empleo;Dirección de Capacitación y Formación Profesional;MDSPE;DCFP;CC;FUP;EL
2024;Introducción a word;Curso e-learning;C-IW;Campus Córdoba;Julio Castro;FUP;Ministerio de Desarrollo Social y Promoción del Empleo;Dirección de Capacitación y Formación Profesional;MDSPE;DCFP;CC;FUP;EL
2024;Introducción al ecodiseño de prendas;Curso e-learning;C-IEP;Campus Córdoba;Rosalía Caceres;FUP;Ministerio de Desarrollo Social y Promoción del Empleo;Secretaría de Economía Social;MDSPE;SES;CC;FUP;EL
2024;Introducción al Emprendedorismo Deportivo;Curso e-learning;C-IED;Campus Córdoba;Agustín Santiago Calleri - Presidente Agencia Córdoba Deportes;Portal Campus Córdoba;Agencia Córdoba Deportes S.E.M.;Subdirección de Capacitación y Desarrollo;ACD;SCD;CC;PCC;EL
2024;La Práctica de la Enseñanza en la formación profesional. ¿Cómo planificar un curso de formación profesional?;Curso e-learning;C-FD;Campus Córdoba;Julio Castro;FUP;Ministerio de Desarrollo Social y Promoción del Empleo;Dirección de Capacitación y Formación Profesional;MDSPE;DCFP;CC;FUP;EL
2024;Ley Micaela Ciudadana;Curso e-learning;C-LMC;Campus Córdoba;Yohana Artico Fenoglio;Portal Campus Córdoba;Ministerio de Desarrollo Social y Promoción del Empleo;Dirección Gral de Políticas de Género Secretaría de la Mujer;MDSPE;DGPGSM;CC;PCC;EL
2024;Ley Micaela para Entidades Deportivas;Curso e-learning;C-LMD;Campus Córdoba;Yohana Artico Fenoglio;Portal Campus Córdoba;Ministerio de Desarrollo Social y Promoción del Empleo;Dirección Gral de Políticas de Género Secretaría de la Mujer;MDSPE;DGPGSM;CC;PCC;EL
2024;Liderazgo y Coaching de Equipos Deportivos;Curso e-learning;C-LYCED;Campus Córdoba;Agustín Santiago Calleri - Presidente Agencia Córdoba Deportes;Portal Campus Córdoba;Agencia Córdoba Deportes S.E.M.;Subdirección de Capacitación y Desarrollo;ACD;SCD;CC;PCC;EL
2024;Logística Open Bravo;Curso e-learning;C-LOB;Campus Córdoba;Gabriel Alberto Strumia;Portal Campus Córdoba;Ministerio de Salud;Dirección General de Sistemas de Gestión Hospitalaria;MS;DGSGH;CC;PCC;EL
2024;Manejo de redes sociales para la economía social;Curso e-learning;C-MRSES;Campus Córdoba;Rosalía Caseres secretaría de economía social;FUP;Ministerio de Desarrollo Social y Promoción del Empleo;Secretaría de Economía Social;MDSPE;SES;CC;FUP;EL
2024;Manipulación Segura de Alimentos;Curso e-learning;C-MSA;Campus Córdoba;No esta definido;Portal Campus Córdoba;Ministerio de Industria, Comercio y Minería;Dirección General de Control de la Industria Alimenticia;MICM;DGCIA;CC;PCC;EL
2024;Marketing Digital;Curso e-learning;EXTERNA;https://conectaempleo-formacion.fundaciontelefonica.com/;Daniel Chucaladakis;https://conectaempleo-formacion.fundaciontelefonica.com/;Agencia Conectividad Córdoba;Habilidades Digitales;ACC;HD;OTRO;OTRO;EL
2024;Mitos y realidades de la violencia contra la mujer en el deporte;Curso e-learning;C-MRVCM;Campus Córdoba;Agustín Santiago Calleri - Presidente Agencia Córdoba Deportes;Portal Campus Córdoba;Agencia Córdoba Deportes S.E.M.;Subdirección de Capacitación y Desarrollo;ACD;SCD;CC;PCC;EL
2024;Monitor/a de Deportes Urbanos;Curso e-learning;C-MDU;Campus Córdoba;Agustín Santiago Calleri - Presidente Agencia Córdoba Deportes;Portal Campus Córdoba;Agencia Córdoba Deportes S.E.M.;Subdirección de Capacitación y Desarrollo;ACD;SCD;CC;PCC;EL
